iter	Passed	Remaining
694	3971	1742
695	3976	1736
696	3979	1729
697	3982	1723
698	3987	1717
699	3989	1709
700	3992	1702
701	3994	1695
702	3997	1688
703	4001	1682
704	4003	1675
705	4006	1668
706	4008	1661
707	4012	1654
708	4016	1648
709	4019	1641
710	4021	1634
711	4024	1627
712	4028	1621
713	4032	1615
714	4034	1608
715	4036	1601
716	4039	1594
717	4042	1587
718	4045	1581
719	4048	1574
720	4050	1567
721	4053	1560
722	4055	1553
723	4059	1547
724	4062	1541
725	4065	1534
726	4068	1527
727	4071	1521
728	4075	1515
729	4078	1508
730	4080	1501
731	4082	1494
732	4085	1488
733	4087	1481
734	4091	1475
735	4093	1468
736	4096	1461
737	4098	1455
738	4101	1448
739	4104	1442
740	4107	1435
741	4109	1428
742	4112	1422
743	4114	1415
744	4116	1409
745	4120	1403
746	4123	1396
747	4126	1390
748	4129	1383
749	4132	1377
750	4136	1371
751	4138	1364
752	4141	1358
753	4143	1351
754	4145	1345
755	4148	1338
756	4152	1332
757	4154	1326
758	4157	1320
759	4160	1313
760	4164	1307
761	4167	1301
762	4170	1295
763	4172	1288
764	4174	1282
765	4177	1276
766	4181	1270
767	4183	1263
768	4186	1257
769	4188	1251
770	4190	1244
771	4193	1238
772	4197	1232
773	4199	1226
774	4202	1220
775	4204	1213
776	4207	1207
777	4211	1201
778	4213	1195
779	4216	1189
780	4218	1182
781	4221	1176
782	4223	1170
783	4227	1164
784	4229	1158
785	4232	1152
786	4234	1146
787	4237	1139
788	4241	1134
789	4244	1128
790	4247	1122
791	4249	1116
792	4253	1110
793	4260	1105
794	4262	1099
795	4265	1093
796	4268	1087
797	4273	1081
798	4276	1075
799	4280	1070
800	4283	1064
801	4287	1058
802	4290	1052
803	4293	1046
804	4295	1040
805	4308	1036
806	4313	1031
807	4318	1026
808	4322	1020
809	4325	1014
810	4329	1008
811	4338	1004
812	4357	1002
813	4361	996
814	4367	991
815	4371	985
816	4384	982
817	4387	976
818	4391	970
819	4398	965
820	4402	959
821	4405	953
822	4408	948
823	4411	942
824	4416	936
825	4419	931
826	4422	925
827	4427	919
828	4429	913
829	4432	907
830	4437	902
831	4443	897
832	4446	891
833	4449	885
834	4451	879
835	4454	873
836	4461	868
837	4463	862
838	4465	857
839	4468	851
840	4470	845
841	4475	839
842	4478	834
843	4480	828
844	4482	822
845	4485	816
846	4488	810
847	4491	805
848	4494	799
849	4496	793
850	4499	787
851	4502	782
852	4505	776
853	4508	770
854	4510	764
855	4513	759
856	4515	753
857	4520	748
858	4522	742
859	4525	736
860	4527	730
861	4530	725
862	4533	719
863	4537	714
864	4540	708
865	4544	703
866	4551	698
867	4554	692
868	4557	687
869	4559	681
870	4563	675
871	4567	670
872	4569	664
873	4572	659
874	4574	653
875	4578	648
876	4581	642
877	4584	636
878	4586	631
879	4588	625
880	4591	620
881	4595	614
882	4597	609
883	4600	603
884	4602	598
885	4605	592
886	4608	587
887	4611	581
888	4614	576
889	4616	570
890	4618	565
891	4621	559
892	4625	554
893	4628	548
894	4631	543
895	4634	537
896	4639	532
897	4642	527
898	4644	521
899	4647	516
900	4649	510
901	4652	505
902	4656	500
903	4658	494
904	4661	489
905	4663	483
906	4666	478
907	4669	473
908	4672	467
909	4675	462
910	4677	456
911	4679	451
912	4682	446
913	4686	440
914	4688	435
915	4691	430
916	4694	424
917	4696	419
918	4700	414
919	4703	408
920	4705	403
921	4707	398
922	4710	392
923	4713	387
924	4717	382
925	4719	377
926	4722	371
927	4725	366
928	4729	361
929	4732	356
930	4735	350
931	4737	345
932	4739	340
933	4742	335
934	4746	329
935	4748	324
936	4751	319
937	4754	314
938	4758	309
939	4762	303
940	4765	298
941	4767	293
942	4770	288
943	4777	283
944	4782	278
945	4785	273
946	4791	268
947	4795	263
948	4798	257
949	4814	253
950	4817	248
951	4822	243
952	4826	238
953	4830	232
954	4842	228
955	4847	223
956	4856	218
957	4861	213
958	4888	209
959	4892	203
960	4896	198
961	4904	193
962	4907	188
963	4910	183
964	4913	178
965	4917	173
966	4921	167
967	4925	162
968	4929	157
969	4934	152
970	4938	147
971	4941	142
972	4944	137
973	4948	132
974	4953	127
975	4956	121
976	4959	116
977	4966	111
978	4969	106
979	4972	101
980	4975	96
981	4980	91
982	4984	86
983	4987	81
984	4990	76
985	4994	70
986	4997	65
987	4999	60
988	5002	55
989	5004	50
990	5009	45
991	5012	40
992	5015	35
993	5017	30
994	5024	25
995	5027	20
996	5030	15
997	5032	10
998	5034	5
999	5037	0
